       Time (UTCG)          gps-01_svn63 - x (km)    gps-01_svn63 - y (km)    gps-01_svn63 - z (km)
14 Sep 2022 17:42:00.000            -13597.355684             22397.801147             -3312.871942
14 Sep 2022 17:43:00.000            -13621.018637             22408.281253             -3119.415183
14 Sep 2022 17:44:00.000            -13643.794261             22417.647662             -2925.715376
14 Sep 2022 17:45:00.000            -13665.690702             22425.891604             -2731.787549
14 Sep 2022 17:46:00.000            -13686.716239             22433.004451             -2537.646758
14 Sep 2022 17:47:00.000            -13706.879274             22438.977713             -2343.308081
14 Sep 2022 17:48:00.000            -13726.188337             22443.803046             -2148.786624
14 Sep 2022 17:49:00.000            -13744.652079             22447.472250             -1954.097512
14 Sep 2022 17:50:00.000            -13762.279272             22449.977270             -1759.255896
14 Sep 2022 17:51:00.000            -13779.078810             22451.310201             -1564.276942
14 Sep 2022 17:52:00.000            -13795.059704             22451.463286             -1369.175841
14 Sep 2022 17:53:00.000            -13810.231080             22450.428921             -1173.967797
14 Sep 2022 17:54:00.000            -13824.602181             22448.199655              -978.668034
14 Sep 2022 17:55:00.000            -13838.182360             22444.768189              -783.291790
14 Sep 2022 17:56:00.000            -13850.981084             22440.127381              -587.854316
14 Sep 2022 17:57:00.000            -13863.007926             22434.270249              -392.370878
14 Sep 2022 17:58:00.000            -13874.272567             22427.189966              -196.856753
14 Sep 2022 17:59:00.000            -13884.784793             22418.879868                -1.327229
14 Sep 2022 18:00:00.000            -13894.554496             22409.333452               194.202398
14 Sep 2022 18:01:00.000            -13903.591665             22398.544378               389.716825
14 Sep 2022 18:02:00.000            -13911.906392             22386.506471               585.200739
14 Sep 2022 18:03:00.000            -13919.508864             22373.213721               780.638825
14 Sep 2022 18:04:00.000            -13926.409365             22358.660286               976.015762
14 Sep 2022 18:05:00.000            -13932.618272             22342.840493              1171.316228
14 Sep 2022 18:06:00.000            -13938.146053             22325.748836              1366.524896
14 Sep 2022 18:07:00.000            -13943.003266             22307.379983              1561.626444
14 Sep 2022 18:08:00.000            -13947.200556             22287.728774              1756.605547
14 Sep 2022 18:09:00.000            -13950.748654             22266.790219              1951.446883
14 Sep 2022 18:10:00.000            -13953.658373             22244.559506              2146.135135
14 Sep 2022 18:11:00.000            -13955.940607             22221.031997              2340.654991
14 Sep 2022 18:12:00.000            -13957.606331             22196.203231              2534.991143
14 Sep 2022 18:13:00.000            -13958.666593             22170.068925              2729.128292
14 Sep 2022 18:14:00.000            -13959.132519             22142.624972              2923.051150
14 Sep 2022 18:15:00.000            -13959.015306             22113.867449              3116.744434
14 Sep 2022 18:16:00.000            -13958.326222             22083.792610              3310.192878
14 Sep 2022 18:17:00.000            -13957.076602             22052.396893              3503.381225
14 Sep 2022 18:18:00.000            -13955.277847             22019.676916              3696.294233
14 Sep 2022 18:19:00.000            -13952.941423             21985.629482              3888.916677
14 Sep 2022 18:20:00.000            -13950.078855             21950.251579              4081.233346
14 Sep 2022 18:21:00.000            -13946.701730             21913.540376              4273.229048
14 Sep 2022 18:22:00.000            -13942.821689             21875.493232              4464.888612
14 Sep 2022 18:23:00.000            -13938.450429             21836.107691              4656.196885
14 Sep 2022 18:24:00.000            -13933.599700             21795.381482              4847.138737
14 Sep 2022 18:25:00.000            -13928.281300             21753.312524              5037.699062
14 Sep 2022 18:26:00.000            -13922.507077             21709.898924              5227.862777
14 Sep 2022 18:27:00.000            -13916.288922             21665.138978              5417.614826
14 Sep 2022 18:28:00.000            -13909.638772             21619.031171              5606.940179
14 Sep 2022 18:29:00.000            -13902.568601             21571.574178              5795.823836
14 Sep 2022 18:30:00.000            -13895.090424             21522.766864              5984.250825
14 Sep 2022 18:31:00.000            -13887.216292             21472.608288              6172.206207
14 Sep 2022 18:32:00.000            -13878.958289             21421.097697              6359.675073
14 Sep 2022 18:33:00.000            -13870.328530             21368.234532              6546.642549
14 Sep 2022 18:34:00.000            -13861.339158             21314.018424              6733.093797
14 Sep 2022 18:35:00.000            -13852.002346             21258.449199              6919.014013
14 Sep 2022 18:36:00.000            -13842.330288             21201.526875              7104.388431
14 Sep 2022 18:37:00.000            -13832.335200             21143.251662              7289.202326
14 Sep 2022 18:38:00.000            -13822.029319             21083.623965              7473.441010
14 Sep 2022 18:39:00.000            -13811.424898             21022.644381              7657.089840
14 Sep 2022 18:40:00.000            -13800.534204             20960.313701              7840.134211
14 Sep 2022 18:41:00.000            -13789.369517             20896.632912              8022.559568
14 Sep 2022 18:42:00.000            -13777.943128             20831.603191              8204.351395
14 Sep 2022 18:43:00.000            -13766.267332             20765.225912              8385.495227
14 Sep 2022 18:44:00.000            -13754.354433             20697.502641              8565.976646
14 Sep 2022 18:45:00.000            -13742.216733             20628.435140              8745.781282
14 Sep 2022 18:46:00.000            -13729.866538             20558.025362              8924.894815
14 Sep 2022 18:47:00.000            -13717.316151             20486.275456              9103.302979
